Country,avg_happiness_score,avg_economy,avg_family,avg_health,avg_freedom,avg_trust,avg_generosity,Cluster
Ethiopia,4.368171454285714,0.30741706985714284,0.787307498,0.4110837078571429,0.40999137314285716,0.13786753557142856,0.24983126328571428,3
Sierra Leone,4.367342865285714,0.30101018742857144,0.7638329987142857,0.07878838857142857,0.35542505385714285,0.06197944457142857,0.24821970128571427,3
Mali,4.363900011285715,0.36347187757142857,1.0116007325714287,0.19194959942857143,0.3465940274285714,0.08672950328571429,0.17252017842857142,3
Niger,4.358085665571428,0.12905080900000002,0.7311107352857142,0.2685730514285714,0.41147147300000003,0.13746824442857142,0.20048867742857143,3
Mauritania,4.339514250142857,0.5784460258571429,1.0366934855714285,0.344237728,0.15199036085714285,0.13248209142857142,0.16223281257142858,3
Egypt,4.330057174714286,0.9218115354285714,0.8480201324285714,0.5540540814285715,0.2880206984285714,0.09185902257142857,0.09634324242857144,2
Burkina Faso,4.2816714554285715,0.3199664797142857,0.8685837007142857,0.26084259057142856,0.3319137152857143,0.12334088014285714,0.20460789914285712,3
Benin,4.252285735,0.39385287314285716,0.30182546857142856,0.2714818804285714,0.4228246665714286,0.09439584128571428,0.18471698414285714,3
Guinea,4.1716142544285715,0.3109825234285714,0.6197515208571429,0.24973776814285714,0.35960651014285716,0.10781888242857143,0.24885941914285714,3
Uganda,4.167000001571428,0.32428259185714287,1.014565018857143,0.29297203871428573,0.4203812158571429,0.06185408014285714,0.27575049,3
India,4.125899991714285,0.7321639151428572,0.5572544647142857,0.4883139652857143,0.5015484645714285,0.09342212385714285,0.22880585314285715,3
Chad,4.113528576714286,0.3524814965714286,0.7301963071428571,0.08331697357142857,0.19386054228571428,0.06622104142857144,0.19877841971428573,3
Liberia,4.054128563428572,0.12120068571428572,0.778008838,0.30840892442857143,0.35723061114285715,0.045846875,0.23396682228571428,3
Madagascar,3.871514268,0.26287741442857143,0.7418392457142857,0.4303057622857143,0.183834902,0.06811151614285714,0.19180751342857144,3
Haiti,3.809114264142857,0.3132920987142857,0.5572501681428571,0.3257282657142857,0.12466248185714286,0.13304540314285715,0.4526519195714286,3
Malawi,3.793285733714286,0.14330096642857143,0.41003956014285714,0.33993041142857144,0.4653063552857143,0.09325080085714285,0.25461650385714285,3
Zimbabwe,3.7824571511428573,0.371831508,0.9622101627142857,0.28429305214285716,0.3360984181428571,0.08655913714285714,0.1650560972857143,3
Botswana,3.7279857125714284,1.0520647358571429,1.0495356835714285,0.3608767488571429,0.5001608204285715,0.10182850957142857,0.06508799071428571,2
Togo,3.7164571364285717,0.2644958547142857,0.34349362699999997,0.284053821,0.3444678824285714,0.10381021014285714,0.183378629,3
Yemen,3.6163428502857142,0.4526093174285714,0.9051027668571429,0.3591715837142857,0.247513601,0.07308279285714285,0.09590488871428572,3
Tanzania,3.489885725857143,0.44129271442857143,0.8727963495714286,0.38947673414285716,0.42753440942857146,0.12191085257142857,0.3053267531428572,3
Rwanda,3.4171857032857145,0.33107550971428573,0.6667347635714286,0.43815687028571426,0.5913059631428571,0.47798321285714285,0.22775157385714287,3
Burundi,3.2778999995714284,0.044604652714285715,0.40280840785714284,0.21546480385714287,0.15428568742857143,0.13702068185714286,0.184143853,3
Afghanistan,3.236271417857143,0.3508961525714286,0.34359959500000004,0.23794118714285714,0.08423136,0.04309908785714286,0.22798366385714286,3
