Country,Period,Gender,Happiness_Rank,Happiness_Score,Economy_GDP_per_Capita,Family,Healthy_Life_Expectancy,Trust_Government_Corruption,Generosity,Region,adolBirthRate,alcoholPerCapita,popUsingSanitationPct,suicidePer100K,lifeExpectancy,infantMortalityPer1000,lifeExpectancyAtBirth,medicalDoctorsPer10000,tobaccoSmokingAbove15,iso_code,year,coal_prod_per_capita,energy_per_capita,fossil_energy_per_capita,gas_energy_per_capita,hydro_energy_per_capita,low_carbon_energy_per_capita,nuclear_energy_per_capita,oil_energy_per_capita,renewables_energy_per_capita,solar_energy_per_capita
Honduras,2020,Total,56,5.953199863,8.424534798,,67.19876862,0.801131904,0.086969115,,,,,,,,,,,,,,,,,,,,,,
Honduras,2021,Total,59,5.919,8.648,,67.3,0.809,0.081,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,2015,Total,72,5.474,1.38604,1.05818,1.01328,0.37124,0.39478,Eastern Asia,,,,,,,,,,HKG,2015,,45444.536,45399.417,4238.296,0,36.204,0,30320.434,36.204,0.363
Hong Kong,2016,Total,75,5.458,1.5107,0.87021,0.95277,0.31647,0.40097,Eastern Asia,,,,,,,,,,HKG,2016,,46264.723,46223.246,4316.079,0,35.573,0,31154.083,35.573,0.34
Hong Kong,2018,Total,76,5.43,1.405,,1.03,0.291,0.246,,,,,,,,,,,HKG,2018,,49063.398,49022.556,4092.99,0,33.926,0,35031.596,33.926,0.273
Hong Kong,2019,Total,76,5.43,1.438,,1.122,0.287,0.258,,,,,,,,,,,HKG,2019,,46370.72,46324.789,4190.647,0,37.12,0,32482.553,37.12,0.261
Hong Kong S.A,2017,Total,71,5.472000122,1.551674843,1.262790918,0.943062425,0.293933749,0.374465793,,,,,,,,,,,,,,,,,,,,,,
Hong Kong S.A,2020,Total,78,5.510399818,10.9346714,,76.77170563,0.420607209,0.134979904,,,,,,,,,,,,,,,,,,,,,,
Hong Kong S.A,2021,Total,77,5.477,11,,76.82,0.403,0.067,,,,,,,,,,,,,,,,,,,,,,
Hungary,2015,Total,104,4.8,1.12094,1.20215,0.75905,0.02758,0.128,Central and Eastern Europe,22.8,11.6,98,20.3,66.6,4.27,75.57,31.18,31.9,HUN,2015,1805.856,26010.015,20868.505,8908.441,60.54,4932.081,4096.675,9175.639,835.407,36.48
Hungary,2016,Total,91,5.145,1.24142,0.93164,0.67608,0.04472,0.099,Central and Eastern Europe,24.8,,97.99,0,,3.96,,32.31,31.4,HUN,2016,1743.941,26512.968,21309.197,9572.675,66.783,4979.545,4139.475,9121.273,840.07,62.915
Hungary,2017,Total,75,5.323999882,1.286011934,1.343133092,0.687763453,0.036636937,0.078401662,,22.9,,97.99,,,3.62,,33.45,31,HUN,2017,1533.726,27882.557,22653.671,10209.812,56.526,5030.476,4136.076,9764.4,894.399,89.671
Hungary,2018,Total,69,5.62,1.171,,0.732,0.022,0.061,,,11.35,,,,3.31,,34.08,30.6,HUN,2018,1522.932,28137.177,22918.202,9911.85,56.835,4985.613,4027.865,10465.635,957.748,158.729
Hungary,2019,Total,62,5.758,1.201,,0.828,0.02,0.081,,,,,,67.19,3.03,76.44,,,HUN,2019,1802.282,28488.966,22967.592,10130.01,56.249,5309.104,4164.7,10579.769,1144.404,353.855
Hungary,2020,Total,53,6.000400066,10.24924374,,67.60997009,0.892916501,-0.194323018,,,,,,,,,,,HUN,2020,,,,,,,,,,
Hungary,2021,Total,53,5.992,10.358,,68,0.876,-0.186,,,,,,,,,,,,,,,,,,,,,,
Iceland,2015,Total,2,7.561,1.30232,1.40223,0.94784,0.14145,0.4363,Western Europe,8,8.74,98.78,14,71.9,1.76,82.14,37.83,15.7,ISL,2015,,177833.485,33333.341,0,105642.71,144078.843,0,29831.654,144078.843,0
Iceland,2016,Total,3,7.501,1.42666,1.18326,0.86733,0.14975,0.47678,Western Europe,6.7,,98.78,0,,1.71,,38.89,15,ISL,2016,,177647.358,36696.504,0,102027.927,140480.727,0,32646.97,140480.727,0
Iceland,2017,Total,3,7.504000187,1.48063302,1.610574007,0.833552122,0.153526559,0.475540221,,6,,98.78,,,1.66,,39.77,14.4,ISL,2017,,184731.897,40233.807,0,105230.041,143985.503,0,36241.788,143985.503,0
Iceland,2018,Total,4,7.495,1.343,,0.914,0.138,0.353,,,9.12,,,,1.6,,40.78,13.8,ISL,2018,,188921.539,42086.045,0,101869.662,146224.492,0,38129.563,146224.492,0
Iceland,2019,Total,4,7.494,1.38,,1.026,0.118,0.354,,,,,,71.98,1.55,82.33,,,ISL,2019,,179962.796,37053.462,0,98303.952,142314.363,0,33120.322,142314.363,0
Iceland,2020,Total,4,7.504499912,10.77255917,,73,0.711709738,0.246944219,,,,,,,,,,,,,,,,,,,,,,
Iceland,2021,Total,4,7.554,10.878,,73,0.673,0.16,,,,,,,,,,,,,,,,,,,,,,
India,2015,Total,117,4.565,0.64499,0.38174,0.51529,0.08492,0.26475,Southern Asia,11.1,5.54,54.35,16.5,59.14,34.94,69.31,,29.6,IND,2015,2494.448,6099.98,5642.015,364.896,257.354,457.965,73.968,1768.346,383.997,12.679
India,2016,Total,118,4.404,0.74036,0.29247,0.45091,0.08722,0.25028,Southern Asia,10.7,,56.94,0.5,,33.11,,7.59,28.8,IND,2016,2492.859,6305.748,5837.032,383.468,243.752,468.716,71.954,1918.417,396.761,21.941
India,2017,Total,122,4.315000057,0.792221248,0.754372597,0.455427617,0.092226885,0.231538489,,,,59.54,,,31.36,,7.78,27.8,IND,2017,2487.348,6501.978,5992.306,401.408,253.702,509.672,69.872,1968.536,439.8,40.235
India,2018,Total,133,4.19,0.721,,0.485,0.093,0.172,,,5.54,,,,29.73,,8.57,27,IND,2018,2628.478,6838.842,6283.857,429.466,256.564,554.985,71.753,2043.397,483.233,66.756
India,2019,Total,140,4.015,0.755,,0.588,0.085,0.2,,,,,,60.33,28.26,70.79,,,IND,2019,2587.99,6923.931,6303.314,436.769,293.3,620.616,81.844,2081.303,538.772,83.846
India,2020,Total,144,3.573299885,8.849823952,,60.21518707,0.772042692,0.057551607,,,,,,,,,,,IND,2020,,,,,,,,,,
India,2021,Total,139,3.819,8.755,,60.633,0.774,0.089,,,,,,,,,,,,,,,,,,,,,,
Indonesia,2015,Total,74,5.399,0.82827,1.08708,0.63793,0,0.51535,Southeastern Asia,,0.6,69.38,3.4,62.33,23.29,70.61,2.74,,IDN,2015,12242.129,7636.035,7368.314,1770.844,134.53,267.722,0,3295.416,267.722,0.052
Indonesia,2016,Total,79,5.314,0.95104,0.87625,0.49374,0.00322,0.56521,Southeastern Asia,36,,71.25,0,,22.48,,,,IDN,2016,11952.961,7752.315,7362.038,1706.358,179.574,390.277,0,3283.69,390.277,0.203
Indonesia,2017,Total,81,5.262000084,0.995538592,1.274444699,0.492345721,0.015317135,0.611704588,,,,73.13,,,21.68,,3.77,,IDN,2017,11943.955,7947.959,7559.452,1632.919,176.009,388.507,0,3414.521,388.507,0.274
Indonesia,2018,Total,96,5.093,0.899,,0.522,0.018,0.484,,,0.57,,,,20.94,,4.27,,IDN,2018,14280.491,8535.947,8116.423,1663.558,156.246,419.524,0,3507.171,419.524,0.186
Indonesia,2019,Total,92,5.192,0.931,,0.66,0.028,0.498,,,,,,62.83,20.24,71.31,,,IDN,2019,15447.114,9146.767,8589.723,1619.113,155.482,557.044,0,3474.374,557.044,0.582
Indonesia,2020,Total,84,5.285600185,9.36975193,,62.15584946,0.876296401,0.519586504,,,,,,,,,,,,,,,,,,,,,,
Indonesia,2021,Total,82,5.345,9.365,,62.236,0.867,0.542,,,,,,,,,,,,,,,,,,,,,,
Iran,2015,Total,110,4.686,1.0088,0.54447,0.69805,0.05863,0.38086,Middle East and Northern Africa,,,,,,,,,,IRN,2015,,36163.525,35613.721,23444.381,427.106,549.804,114.318,11938.087,435.486,0.048
Iran,2016,Total,105,4.813,1.11758,0.38857,0.64232,0.0557,0.38538,Middle East and Northern Africa,,,,,,,,,,IRN,2016,,37680.621,36979.351,24674.376,487.446,701.271,204.624,12083.883,496.647,0.158
Iran,2017,Total,108,4.691999912,1.156873107,0.711551249,0.639333189,0.048761073,0.387242913,,,,,,,,,,,IRN,2017,,38925.262,38162.744,25920.843,534.001,762.517,215.609,12004.613,546.908,2.659
Iran,2018,Total,106,4.707,1.059,,0.691,0.129,0.282,,,,,,,,,,,IRN,2018,,40176.741,39606.503,27400.582,346.114,570.239,209.203,12017.682,361.036,4.047
Iran,2019,Total,117,4.548,1.1,,0.785,0.125,0.27,,,,,,,,,,,IRN,2019,,41354.455,40281.521,26969.934,864.98,1072.934,191.453,13138.285,881.481,5.099
Iran,2020,Total,118,4.672399998,9.813719749,,66.00614929,0.714635968,0.117891103,,,,,,,,,,,IRN,2020,,,,,,,,,,
Iran,2021,Total,118,4.721,9.584,,66.3,0.714,0.218,,,,,,,,,,,,,,,,,,,,,,
Iraq,2015,Total,112,4.677,0.98549,0.81889,0.60237,0.13788,0.17922,Middle East and Northern Africa,,0.37,90.74,3.1,60.8,24.65,70.29,,22.9,IRQ,2015,,13108.326,12923.178,2052.486,181.073,185.148,0,10870.692,185.148,4.075
Iraq,2016,Total,112,4.575,1.07474,0.59205,0.51076,0.13636,0.19589,Middle East and Northern Africa,,,92.43,0,,23.9,,8.54,22.6,IRQ,2016,,14723.185,14487.68,2702.9,231.569,235.505,0,11784.78,235.505,3.936
Iraq,2017,Total,117,4.497000217,1.102710485,0.978613198,0.50118047,0.107215755,0.199637264,,,,94.12,,,23.2,,8.38,22.5,IRQ,2017,,14146.429,13997.747,3042.863,144.868,148.683,0,10954.883,148.683,3.815
Iraq,2018,Total,117,4.456,1.01,,0.536,0.095,0.148,,,0.39,,,,22.51,,7.08,22.2,IRQ,2018,,14488.854,14367.604,3798.839,117.544,121.25,0,10568.765,121.25,3.706
Iraq,2019,Total,126,4.437,1.043,,0.574,0.089,0.148,,,,,,62.66,21.83,72.42,,,IRQ,2019,,15733.708,15574.017,5068.246,156.081,159.691,0,10505.771,159.691,3.61
Iraq,2020,Total,110,4.784800053,9.661095619,,59.90354919,0.82226181,-0.06956476,,,,,,,,,,,,,,,,,,,,,,
Iraq,2021,Total,111,4.854,9.24,,60.583,0.875,-0.053,,,,,,,,,,,,,,,,,,,,,,
Ireland,2015,Total,18,6.94,1.33596,1.36948,0.89533,0.28703,0.45901,Western Europe,8.6,12.47,91.05,11.5,70.66,3.18,81.14,31.5,25.3,IRL,2015,,37179.078,32686.858,9407.508,438.57,4273.479,0,17796.672,4273.479,0.879
Ireland,2016,Total,19,6.907,1.48341,1.16157,0.81455,0.29754,0.44963,Western Europe,7.4,,91.15,0,,3.1,,32.32,24.6,IRL,2016,,38377.773,34083.511,10478.401,364.702,4025.154,0,18386.961,4025.154,2.861
Ireland,2017,Total,15,6.977000237,1.535706639,1.558231115,0.809782624,0.298388153,0.427858323,,7.2,,91.25,,,3.01,,32.95,24.2,IRL,2017,,38045.307,33004.431,10559.404,363.772,4669.149,0,18055.274,4669.149,5.681
Ireland,2018,Total,14,6.977,1.448,,0.876,0.306,0.307,,,12.88,,,,2.92,,33.13,23.6,IRL,2018,,38354.492,32722.044,10812.499,357.974,5257.814,0,18505.298,5257.814,8.59
Ireland,2019,Total,16,7.021,1.499,,0.999,0.31,0.298,,,,,,71.07,2.83,81.84,,,IRL,2019,,37739.296,31489.613,10888.752,449.687,5830.545,0,18316.188,5830.545,12.622
Ireland,2020,Total,16,7.093699932,11.16097832,,72.30078888,0.357184172,0.145784974,,,,,,,,,,,IRL,2020,,,,,,,,,,
Ireland,2021,Total,15,7.085,11.342,,72.4,0.363,0.077,,,,,,,,,,,,,,,,,,,,,,
Israel,2015,Total,11,7.278,1.22857,1.22393,0.91387,0.07785,0.33172,Middle East and Northern Africa,,3.86,100,5,71.84,3.16,81.93,34.62,26.2,ISR,2015,,35543.691,35129.745,10093.484,7.769,399.378,0,15631.994,399.378,367.891
Israel,2016,Total,11,7.267,1.33766,0.99537,0.84917,0.08728,0.32288,Middle East and Northern Africa,9,,100,0.1,,3.1,,34.63,26,ISR,2016,,35556.614,35015.725,11406.409,5.389,528.048,0,15701.926,528.048,473.032
Israel,2017,Total,11,7.212999821,1.375382423,1.376289964,0.838404,0.0852421,0.330082655,,9.9,,100,,,3.06,,34.78,25.8,ISR,2017,,36555.398,36030.942,12001.28,5.403,512.676,0,16970.845,512.676,458.091
Israel,2018,Total,19,6.814,1.301,,0.883,0.272,0.354,,,4.21,,,,3.01,,46.25,25.5,ISR,2018,,35997.319,35466.923,12554.204,6.857,522.488,0,16377.118,522.488,466.654
